vendor_name,vendor_category,vendor_state,vendor_area,vendor_city,property_type,venue_start_year,vendor_address,vendor_contact_info,vendor_google_map,no_of_rooms,per_room_price,starting_decor_price,veg_price_per_plate,nonveg_price_per_plate,destination_price,destination_details,small_party_venue,space_available,parking_policy,catering_policy,decor_policy,dj_policy,alcohol_policy,event_space_name_1,event_space_type_1,seating_guests_1,floating_guests_1,event_space_name_2,event_space_type_2,seating_guests_2,floating_guests_2,event_space_name_3,event_space_type_3,seating_guests_3,floating_guests_3,event_space_name_4,event_space_type_4,seating_guests_4,floating_guests_4,event_space_name_5,event_space_type_5,seating_guests_5,floating_guests_5,event_space_name_6,event_space_type_6,seating_guests_6,floating_guests_6,event_space_name_7,event_space_type_7,seating_guests_7,floating_guests_7,event_space_name_8,event_space_type_8,seating_guests_8,floating_guests_8
Food Farmaish Restaurant,Wedding Venues,83,Bhadu Market,2037,Party Restaurant / Lounge,,"Food farmaish restaurant, Bhadu Market, Jodhpur, Rajasthan, India",7728082620,"https://www.google.com/maps?q=26.2320724,72.95528929999999",1 Rooms,,,500,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Indoor space,There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Hall,Indoor Area,120,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandra Grand,Wedding Venues,83,Jodhpur,2037,Hotel,,"CHANDRA GRAND, MANDORE INDUSTRIAL AREA, 9 MILE, MANDORE, Jodhpur, Rajasthan, India",7340064989,"https://www.google.com/maps?q=26.3885721,73.0707049",80 Rooms,"3,800",,600,700,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",There is sufficient parking available,Inhouse catering only,Inhouse decor,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Jashn Banquet Hall,Indoor Area,650,700,Banquets and Open Garden,Indoor & Outdoor Area,1800,2000,,,,,,,,,,,,,,,,,,,,,,,,
Daspan House,Wedding Venues,83,Ratanada,2037,Small Function Hall,,"Ratanada, Jodhpur, Rajasthan, India",8094451665,"https://www.google.com/maps?q=26.2738937,73.03074090000001",18 Rooms,"7,000",,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Indoor space,There is sufficient parking available,Inhouse catering only,Inhouse decor,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Hall,Indoor Area,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindhu Mahal,Wedding Venues,83,Chopasni Housing Board,2037,Banquet Hall,,"Sindhu Mahal, Sector 9, Chopasni Housing Board, Jodhpur, Rajasthan, India",9414127791,"https://www.google.com/maps?q=26.2680454,72.9779434",,,,500,700,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Indoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Hall,Indoor Area,450,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parshva Paradise Garden,Wedding Venues,83,Basni,2037,Wedding Lawn,,"Parshva Paradise Garden, Jodhpur",9694088752,"https://www.google.com/maps?q=26.2475952,73.0021534",,,,400,600,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Outside caterering only,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,800,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shri Ram Vatika,Wedding Venues,83,Soorsagar,2037,Wedding Lawn,,"Shri Ram Vatika, Soorsagar, Jodhpur, Rajasthan, India",9950062511,"https://www.google.com/maps?q=26.31871,73.001659",,,,550,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Lawn,Outdoor Area,600,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paras Greens,Wedding Venues,83,Basni,2037,Wedding Lawn,,"HI Area Phase II, Basni, Jodhpur, Rajasthan, India",9414701088,"https://www.google.com/maps?q=26.2475952,73.0021534",,,,400,650,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn ,Outdoor Area,1500,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barsingha Villa,Wedding Venues,83,Jodhpur,2037,Wedding Lawn,,"Hotel Barsingha Villa Bap, Phalodi, Rajasthan, India",9413319546,"https://www.google.com/maps?q=27.3799648,72.3492864",18 Rooms,"3,500",,600,800,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Outdoor, Terrace / Rooftop space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,70,120,Terrace,Outdoor Area,60,100,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Snehil Marriage Garden & Restaurant,Wedding Venues,83,Pratap Nagar,2037,Wedding Lawn,,"Kabir Nagar, Jodhpur, Rajasthan, India",7742225222,"https://www.google.com/maps?q=26.2994785,72.9941482",,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,There is sufficient parking available,Outside caterering only,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Lawn,Outdoor Area,1000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manglam Marriage Garden Jodhpur,Wedding Venues,83,Bhadu Market,2037,Wedding Lawn,,"DPS Circle, Pal Gaon, Jodhpur, Rajasthan",9929299736,"https://www.google.com/maps?q=26.2262482,72.9611805",,"60,000",,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,There is sufficient parking available,Inhouse catering only,Decorators from panel only,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",lawn,Outdoor Area,550,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor Merchant Hall,Wedding Venues,83,Sardarpura,2037,Banquet Hall,,"Motor Merchant Hall, D Road, Sardarpura, Jodhpur, Rajasthan, India",9414498983,"https://www.google.com/maps?q=26.2746905,73.0104107",,,,550,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Indoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Hall,Indoor Area,100,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White House Marriage Garden,Wedding Venues,83,Paota,2037,Wedding Lawn,,"White House, Bhadwasiya, Paota, Jodhpur, Rajasthan, India",9309225401,"https://www.google.com/maps?q=26.300638,73.037645",,"25,000",,450,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,600,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodhpur Resort Garden,Wedding Venues,83,Sardarpura,2037,Resort,,Residency Rd Sardarpura Jodhpur,8209776940,"https://www.google.com/maps?q=26.2744259,73.0052125",19 Rooms,"2,000",,400,600,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Hall,Indoor Area,200,300,Lawn,Outdoor Area,1200,1800,,,,,,,,,,,,,,,,,,,,,,,,
High Altitude Jodhpur,Wedding Venues,83,Sardarpura,2037,Banquet Hall,,"Chopasni Road, Jodhpur 342003 Jodhpur, Rajasthan",9460050339,"https://www.google.com/maps?q=26.2812785,73.0070264",,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Indoor space,Parking is available near the venue,Inhouse & outside catering allowed,,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Hall,Indoor Area,70,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurya Wedding Garden,Wedding Venues,83,Jodhpur,2037,Hotel,,"MAURYA WEDDING GARDEN, Prabhat Nagar, near Gattani Hospital, Prem Nagar, Jodhpur, Rajasthan, India",9001939686,"https://www.google.com/maps?q=26.3219121,73.1143197",34 Rooms,,,60000,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Lawn,Outdoor Area,700,1000,Hall,Indoor Area,70,100,Hall 2,Indoor Area,40,60,,,,,,,,,,,,,,,,,,,,
C Merriment,Wedding Venues,83,Bhadu Market,2037,Wedding Lawn,,"Pal Road, Khema-Ka-Kuwa, Jodhpur, Rajasthan, India",8875048000,"https://www.google.com/maps?q=26.2385461,72.9703656",,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,,"In house alcohol not available, Outside alcohol  permitted",Lawn,Outdoor Area,2000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chopasni Marriage Garden,Wedding Venues,83,Bhadu Market,2037,Wedding Lawn,,"BR Birla School Rd Vinayak Vihar Bhadu Market,Jodhpur",9828530200,"https://www.google.com/maps?q=26.247723,72.9555283",,,,400,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Outside caterering only,Outside decorators permitted,"In house DJ available, Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,500,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmar Greens,Wedding Venues,83,Bhadu Market,2037,Wedding Lawn,,"Pal Chopasani Bypass Rd, Bhadu Market, Jodhpur, Rajasthan, India",9001090232,"https://www.google.com/maps?q=26.240316,72.9524261",,"100,000",,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,There is sufficient parking available,Inhouse catering only,Decorators from panel only,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",lawn,Outdoor Area,650,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone By The Park Jodhpur,Wedding Venues,83,Basni,2037,4 Star Hotel,,"jawahar tower” 29 (2-A), iti circle, Near new Power House, jodhpur – rajasthan - 342003",7340083333,"https://www.google.com/maps?q=26.2600466,73.0031414",,,,850,1350,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",,Inhouse catering only,Decorators from panel only,"In house DJ available, Outside DJ not permitted","In house alcohol available, Outside alcohol not  permitted",Banquet ,Indoor Area,250,500,Lawn,Outdoor Area,500,1200,,,,,,,,,,,,,,,,,,,,,,,,
Dau Ri Dhani,Wedding Venues,83,Kabir Nagar,2037,Wedding Lawn,,"Dau Ri Dhani, Soorsagar Road, Opposite Royalty Naka, Kamla Nehru Nagar, Kabir Nagar, Jodhpur, Rajasthan, India",9829027048,"https://www.google.com/maps?q=26.2890943,72.9878444",,,,500,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,2000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudraksh Bagh,Wedding Venues,83,Rawat Nagar,2037,Wedding Lawn,,"Rudraksh Bagh, Jodhpur, Rajasthan, India",9829196182,"https://www.google.com/maps?q=26.3616977,73.11725729999999",5 Rooms,,,700,1000,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Lawn,Outdoor Area,350,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhalamand Garh,Wedding Venues,83,Jodhpur,2037,Wedding Lawn,,"Jhalamand Garh Hotel, Jodhpur, Rajasthan, India",9351514444,"https://www.google.com/maps?q=26.209466,73.0650295",26 Rooms,"3,500","40,000",1000,1100,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse catering only,Inhouse decor,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Lawn,Outdoor Area,250,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Baag Garden,Wedding Venues,83,Cantt Area,2037,Wedding Lawn,,"Rasala Road, Parthvipura, Laxmi Nagar, Jodhpur, Rajasthan, India",9799253158,"https://www.google.com/maps?q=26.2935037,73.04696380000001",,,,600,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn ,Outdoor Area,1350,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veergarh The Resort,Wedding Venues,83,Jodhpur,2037,Resort,,"Veergarh The Resort, New Pali Rd, Jodhpur, Rajasthan, India",6350311917,"https://www.google.com/maps?q=26.1906691,73.0639364",20 Rooms,"2,000",,550,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor, Poolside space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Hall,Indoor Area,150,250,Lawn,Outdoor Area,1000,1500,Poolside,Poolside Area,40,70,,,,,,,,,,,,,,,,,,,,
Parvitra's Jodhpur Greens,Wedding Venues,83,Cantt Area,2037,Lawn & Banquet Hall,,"Parvitra's Jodhpur Greens, Near Bodhi International School, Shikargarh Enclave, Sirodi, Jodhpur, Rajasthan, India",9352052078,"https://www.google.com/maps?q=26.274612,73.07833800000003",,"35,000",,500,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Banquet,Indoor Area,300,400,Lawn 1,Outdoor Area,1500,2000,Lawn 2,Outdoor Area,5500,8000,,,,,,,,,,,,,,,,,,,,
Devi Bhawan,Wedding Venues,83,Cantt Area,2037,Wedding Lawn,,"Devi Bhawan, Defence Lab Road, Ratanada area, Jodhpur, Rajasthan, India",9828035359,"https://www.google.com/maps?q=26.26938239999999,73.0398909",,,,800,1000,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,Parking is available near the venue,Inhouse catering only,Decorators from panel only,"In house DJ available, Outside DJ not permitted","In house alcohol available, Outside alcohol not  permitted",Lawn,Outdoor Area,400,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khwahish Marriage Garden,Wedding Venues,83,Kabir Nagar,2037,Wedding Lawn,,Soorsagar Jodhpur Jodhpur,9166858682,"https://www.google.com/maps?q=26.3102746,73.0099725",,,,300,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,1500,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punglia Resort,Wedding Venues,83,Jodhpur,2037,Resort,,"Daijar, Jodhpur, Rajasthan, India",9587024455,"https://www.google.com/maps?q=26.3967641,73.0759446",40 Rooms,"3,500",,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",There is sufficient parking available,Inhouse catering only,Inhouse decor,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Banquet Hall,Indoor Area,250,500,Lawn,Outdoor Area,700,1500,,,,,,,,,,,,,,,,,,,,,,,,
Ramsheela Garden & Resort,Wedding Venues,83,Jodhpur,2037,Wedding Lawn,,"Major Saitan Singh Rd, Nandri, Jodhpur, Rajasthan 342006",8282823298,"https://www.google.com/maps?q=26.3115487,73.1002242",,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,Parking is available near the venue,Inhouse & outside catering allowed,Inhouse decor,"In house DJ available, Outside DJ not permitted","In house alcohol available, Outside alcohol  permitted",Farmhouse,Outdoor Area,600,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peelwa Haveli,Wedding Venues,83,Paota,2037,Wedding Lawn,,Nagori Gate Kila Rd Mahamandir Jodhpur,9783891309,"https://www.google.com/maps?q=26.30385589999999,73.0341577",,,,300,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,450,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haveli Farm,Wedding Venues,83,Gopal Bari,2037,Wedding Lawn,,"Dali Bai Mandir, Ram Nagar, Jodhpur, Rajasthan 342001, India",9828621400,"https://www.google.com/maps?q=26.2644858,72.95860569999999",,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Outdoor space,There is sufficient parking available,Inhouse catering only,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn Area,Outdoor Area,100,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
